,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
194,IDN,"Intellicheck, Inc.",1.94,30280000.0,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/idn
195,INS,Intelligent Systems Corporation,4.9993,43880000.0,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ins
196,THM,International Tower Hill Mines Ltd,0.5295,98700000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/thm
197,INTT,inTest Corporation,6.625,69390000.0,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/intt
198,INUV,"Inuvo, Inc",0.9318,26670000.0,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/inuv
199,VKI,Invesco Advantage Municipal Income Trust II,10.69,474550000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vki
200,ISR,"IsoRay, Inc.",0.4191,23090000.0,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/isr
201,ISDR,Issuer Direct Corporation,16,48530000.0,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/isdr
202,KIQ,Kelso Technologies Inc,0.46,21580000.0,n/a,Capital Goods,Railroads,https://www.nasdaq.com/symbol/kiq
203,KLDX,Klondex Mines Ltd.,2.35,422100000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kldx
204,LTS,Ladenburg Thalmann Financial Services Inc,3.02,604860000.0,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/lts
205,LTS^A,Ladenburg Thalmann Financial Services Inc,25.15,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lts^a
206,LTSL,Ladenburg Thalmann Financial Services Inc,24.59,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ltsl
207,LAQ,"Latin America Equity Fund, Inc. (The)",27.4047,204120000.0,1991,n/a,n/a,https://www.nasdaq.com/symbol/laq
208,LEVB,"Level Brands, Inc.",4.029,32350000.0,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/levb
209,LGL,"LGL Group, Inc. (The)",5.54,26030000.0,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lgl
210,LBY,"Libbey, Inc.",5.82,128210000.0,1993,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/lby
211,LLEX,"Lilis Energy, Inc.",3.99,241140000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex
212,LIQT,"LiqTech International, Inc.",0.49,21670000.0,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/liqt
213,MAG,MAG Silver Corporation,10.59,905480000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mag
214,MJCO,Majesco,5.3,193680000.0,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/mjco
215,MHH,"Mastech Digital, Inc",11.81,64500000.0,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/mhh
216,MTNB,"Matinas Biopharma Holdings, Inc.",0.67,62700000.0,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb
217,MNI,McClatchy Company (The),9.23,71330000.0,1988,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mni
218,IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",27.2,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ipb
219,MXC,Mexco Energy Corporation,3.169,6460000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc
220,CCA,MFS California Insured Municipal Trust,10.46,29140000.0,1999,n/a,n/a,https://www.nasdaq.com/symbol/cca
221,MICR,"Micron Solutions, Inc.",3.81,10840000.0,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/micr
222,MLSS,"Milestone Scientific, Inc.",0.8,26390000.0,2015,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/mlss
223,MVF,"MuniVest Fund, Inc.",8.83,569510000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mvf
224,MZA,"MuniYield Arizona Fund, Inc.",15.16,70110000.0,1993,n/a,n/a,https://www.nasdaq.com/symbol/mza
225,MYO,Myomo Inc.,3.23,40030000.0,2017,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/myo
226,NNVC,"NanoViricides, Inc.",0.83,52600000.0,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc
227,ATEST,NASDAQ TEST STOCK,23.09,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest
228,ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.a
229,ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.b
230,ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.c
231,NHC,National HealthCare Corporation,59.51,906130000.0,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc
232,NAVB,"Navidea Biopharmaceuticals, Inc.",0.3488,56780000.0,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/navb
233,NTIP,"Network-1 Technologies, Inc.",2.65,62940000.0,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip
234,NBW,Neuberger Berman California Intermediate Municipal Fund Inc.,12.95,71890000.0,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbw
235,NHS,Neuberger Berman High Yield Strategies Fund,10.98,214560000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhs
236,NBH,Neuberger Berman Intermediate Municipal Fund Inc.,13.86,260550000.0,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbh
237,NML,Neuberger Berman MLP Income Fund Inc.,8.42,477070000.0,2013,n/a,n/a,https://www.nasdaq.com/symbol/nml
238,NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.,11.673,59270000.0,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbo
239,NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",4.78,226670000.0,2003,n/a,n/a,https://www.nasdaq.com/symbol/nro
240,UWN,"Nevada Gold & Casinos, Inc.",2.29,38580000.0,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/uwn
241,NSU,Nevsun Resources Ltd,2.43,734640000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nsu
242,GBR,"New Concept Energy, Inc",1.32,2950000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr
243,NEN,New England Realty Associates Limited Partnership,69.5,259340000.0,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/nen
244,NGD,New Gold Inc.,2.5,1450000000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ngd
245,NXE,Nexgen Energy Ltd.,1.8199,624810000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nxe
246,HLTH,Nobilis Health Corp.,1.65,129000000.0,2015,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hlth
247,NAK,"Northern Dynasty Minerals, Ltd.",0.8727,270980000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nak
248,NOG,"Northern Oil and Gas, Inc.",1.48,97600000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nog
249,NBY,"NovaBay Pharmaceuticals, Inc.",3.45,58960000.0,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nby
250,NG,Novagold Resources Inc.,4.65,1500000000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ng
251,NTN,"NTN Buzztime, Inc.",5.6,14120000.0,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/ntn
252,NES,"Nuverra Environmental Solutions, Inc.",19.99,233790000.0,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes
253,OCX,OncoCyte Corporation,2.15,81310000.0,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ocx
254,OGEN,Oragenics Inc.,1.9,9360000.0,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ogen
255,TIS,Orchids Paper Products Company,8.01,85470000.0,2005,Basic Industries,Paper,https://www.nasdaq.com/symbol/tis
256,ONP,"Orient Paper, Inc.",1.19,25530000.0,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/onp
257,ORM,"Owens Realty Mortgage, Inc.",14.63,133010000.0,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/orm
258,PCG^A,Pacific Gas & Electric Co.,25.2012,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^a
259,PCG^B,Pacific Gas & Electric Co.,23.16,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^b
260,PCG^C,Pacific Gas & Electric Co.,21.45,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^c
261,PCG^D,Pacific Gas & Electric Co.,21.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^d
262,PCG^E,Pacific Gas & Electric Co.,21.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^e
263,PCG^G,Pacific Gas & Electric Co.,20.5428,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^g
264,PCG^H,Pacific Gas & Electric Co.,19.2184,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^h
265,PCG^I,Pacific Gas & Electric Co.,19.6492,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^i
266,PTN,"Palatin Technologies, Inc.",1.23,240310000.0,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptn
