,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
73,AGEN,Agenus Inc.,4.46,457400000,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
74,AGRX,"Agile Therapeutics, Inc.",2.67,91440000,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
75,AGYS,"Agilysys, Inc.",12.36,288150000,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
76,AGIO,"Agios Pharmaceuticals, Inc.",73.22,4200000000,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
77,AGNC,AGNC Investment Corp.,18.95,7420000000,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
78,AGNCB,AGNC Investment Corp.,25.7,8900000000,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
79,AGNCN,AGNC Investment Corp.,25.45,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
80,AGFS,"AgroFresh Solutions, Inc.",7.26,369560000,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
81,AGFSW,"AgroFresh Solutions, Inc.",0.5,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
82,ALRN,"Aileron Therapeutics, Inc.",6.37,93860000,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
83,AIMT,"Aimmune Therapeutics, Inc.",29.41,1700000000,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
84,AIRT,"Air T, Inc.",24.75,50560000,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
85,ATSG,"Air Transport Services Group, Inc",23.14,1370000000,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
86,AIRG,"Airgain, Inc.",7.92,76360000,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
87,AMCN,AirMedia Group Inc,0.788,49500000,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
88,AKAM,"Akamai Technologies, Inc.",69.34,11790000000,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
89,AKTX,Akari Therapeutics Plc,2.01,30670000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
90,AKCA,"Akcea Therapeutics, Inc.",21.62,1440000000,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
91,AKBA,"Akebia Therapeutics, Inc.",9.54,461220000,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
92,AKER,Akers Biosciences Inc,0.606,19040000,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
93,AKRX,"Akorn, Inc.",18.39,2300000000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
94,AKTS,"Akoustis Technologies, Inc.",5.38,120090000,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
95,ALRM,"Alarm.com Holdings, Inc.",38.52,1820000000,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
96,ALSK,"Alaska Communications Systems Group, Inc.",1.75,91920000,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
97,ALBO,"Albireo Pharma, Inc.",31.77,377970000,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
98,ABDC,Alcentra Capital Corp.,7.16,101720000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
99,ALDR,"Alder BioPharmaceuticals, Inc.",12.6,854840000,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
100,ALDX,"Aldeyra Therapeutics, Inc.",7,137650000,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
101,ALXN,"Alexion Pharmaceuticals, Inc.",109.24,24290000000,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
102,ALCO,"Alico, Inc.",29.55,243770000,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
103,ALGN,"Align Technology, Inc.",245.23,19650000000,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
104,ALIM,"Alimera Sciences, Inc.",1.05,86010000,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
105,ALJJ,"ALJ Regional Holdings, Inc.",2.14,81150000,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj
